AgencyID,Country,NetWorth,AddressLine2,Phone,Employer,Income,NumberCreditCards,MiddleInitial,OwnOrRentFlag,FirstName,LastName,Gender,AddressLine1,PostalCode,City
PEL0,United States of America,1058868.0,,1-712-522-6088,Brink's,368776.0,,,O,Netti,PELLAND,f,21847 olympia street,T6b 1i1,Fairbanks
LED1,United States of America,1988185.0,APT. 624,1-626-426-4298,,177967.0,6.0,,U,TRUDY,LEDUC,F,245 congress court,77281,Quebec
lat2,United States of America,3673128.0,,1-524-787-8784,,321772.0,6.0,,O,ireland,latif,,6517 frailing west,91355,Henderson
RUD3,Canada,2005895.0,,1-741-997-1688,Air Products & Chemicals,25449.0,3.0,,O,Misti,RUDDICK,,11449 blalock park,36615,Salem
JAY4,Canada,624736.0,Apt. 619,1-002-194-1991,Oshkosh,166567.0,4.0,M,O,sarena,JAYAMANNE,f,18354 dodd court,t6a 1i3,Toledo
tod5,United States of America,3064615.0,,1-441-371-7651,,43631.0,10.0,Z,R,Paulette,todo,M,14117 roxboro street,A2b 1v3,Corpus Christi
Kan6,Canada,3489129.0,,1-957-940-5980,VeraSun Energy,466230.0,1.0,R,O,AMALITA,Kanno,m,24697 FLORENCE WEST,49513,Salt Lake City
Din7,United States of America,3430744.0,,1-768-633-4096,IDT,420243.0,7.0,Z,U,Ernesto,Dinkel,,6488 applewood drive,M5d 1v6,Brownsville
Thi8,United States of America,1743614.0,,1-107-689-2155,Adams Resources & Energy,141862.0,10.0,,O,Toby,Thibodeaux,,17404 gale court,V6c 1q1,Escondido
May9,United States of America,216299.0,,1-173-594-6096,MGIC Investment,402011.0,,,O,evangelia,Mayo,,15913 alexis street,99716,Los Angeles
mah10,Canada,1528641.0,,1-561-520-0611,Iasis Healthcare,79928.0,9.0,U,O,umakanth,mahendra,,18313 5th lane,A2b 1w1,West Covina
Siz11,United States of America,3752907.0,,1-730-406-9727,AMR,109496.0,0.0,,R,terrie,Sizto,,13653 collier avenue,M5F 1W1,San Buenaventura
cra12,United States of America,582378.0,,,Embarq,267901.0,0.0,,U,Mary-pat,crawley,,15306 pike park,95118,Lexington
dac13,United States of America,3458824.0,,1-207-867-4589,Advanced Micro Devices,487273.0,8.0,,R,Catherin,dacal,m,1540 crestmere north,H2f 1v7,Hay River
HIV14,United States of America,469408.0,,1-478-629-9641,Cenveo,34013.0,2.0,W,O,annissa,HIVELY,,10790 bonita crescent,19217,Toronto
Pes15,United States of America,1504480.0,Apt. 290,1-026-208-8595,Kelly Services,473462.0,6.0,,O,Amour,Peschke,,24679 AIRPORT CRESCENT,21228,Denver
