Age,MaritalStatus,NumberCreditCards,Phone,PostalCode,AgencyID,NetWorth,LastName,OwnOrRentFlag,MiddleInitial,NumberCars,Country,Gender,CreditRating,Income,City,AddressLine2,Employer,AddressLine1,NumberChildren,State,FirstName
20.0,W,,1-712-522-6088,T6b 1i1,PEL0,1058868.0,PELLAND,O,,,United States of America,f,760.0,368776.0,Fairbanks,,Brink's,21847 olympia street,3.0,MA,Netti
3.0,U,6.0,1-626-426-4298,77281,LED1,1988185.0,LEDUC,U,,5.0,United States of America,F,555.0,177967.0,Quebec,APT. 624,,245 congress court,1.0,PA,TRUDY
,S,6.0,1-524-787-8784,91355,lat2,3673128.0,latif,O,,2.0,United States of America,,566.0,321772.0,Henderson,,,6517 frailing west,1.0,Alberta,ireland
77.0,W,3.0,1-741-997-1688,36615,RUD3,2005895.0,RUDDICK,O,,2.0,Canada,,,25449.0,Salem,,Air Products & Chemicals,11449 blalock park,1.0,AR,Misti
21.0,M,4.0,1-002-194-1991,t6a 1i3,JAY4,624736.0,JAYAMANNE,O,M,0.0,Canada,f,815.0,166567.0,Toledo,Apt. 619,Oshkosh,18354 dodd court,3.0,OR,sarena
77.0,M,10.0,1-441-371-7651,A2b 1v3,tod5,3064615.0,todo,R,Z,1.0,United States of America,M,333.0,43631.0,Corpus Christi,,,14117 roxboro street,4.0,VA,Paulette
23.0,,1.0,1-957-940-5980,49513,Kan6,3489129.0,Kanno,O,R,4.0,Canada,m,528.0,466230.0,Salt Lake City,,VeraSun Energy,24697 FLORENCE WEST,0.0,OH,AMALITA
9.0,M,7.0,1-768-633-4096,M5d 1v6,Din7,3430744.0,Dinkel,U,Z,2.0,United States of America,,680.0,420243.0,Brownsville,,IDT,6488 applewood drive,2.0,Prince Edward Island,Ernesto
63.0,U,10.0,1-107-689-2155,V6c 1q1,Thi8,1743614.0,Thibodeaux,O,,3.0,United States of America,,761.0,141862.0,Escondido,,Adams Resources & Energy,17404 gale court,,NV,Toby
32.0,M,,1-173-594-6096,99716,May9,216299.0,Mayo,O,,0.0,United States of America,,416.0,402011.0,Los Angeles,,MGIC Investment,15913 alexis street,2.0,Ontario,evangelia
96.0,M,9.0,1-561-520-0611,A2b 1w1,mah10,1528641.0,mahendra,O,U,2.0,Canada,,493.0,79928.0,West Covina,,Iasis Healthcare,18313 5th lane,2.0,TX,umakanth
46.0,M,0.0,1-730-406-9727,M5F 1W1,Siz11,3752907.0,Sizto,R,,1.0,United States of America,,564.0,109496.0,San Buenaventura,,AMR,13653 collier avenue,0.0,NE,terrie
6.0,U,0.0,,95118,cra12,582378.0,crawley,U,,1.0,United States of America,,817.0,267901.0,Lexington,,Embarq,15306 pike park,4.0,AR,Mary-pat
39.0,U,8.0,1-207-867-4589,H2f 1v7,dac13,3458824.0,dacal,R,,3.0,United States of America,m,653.0,487273.0,Hay River,,Advanced Micro Devices,1540 crestmere north,5.0,MI,Catherin
73.0,M,2.0,1-478-629-9641,19217,HIV14,469408.0,HIVELY,O,W,3.0,United States of America,,587.0,34013.0,Toronto,,Cenveo,10790 bonita crescent,4.0,MA,annissa
26.0,S,6.0,1-026-208-8595,21228,Pes15,1504480.0,Peschke,O,,0.0,United States of America,,472.0,473462.0,Denver,Apt. 290,Kelly Services,24679 AIRPORT CRESCENT,2.0,TN,Amour
