AgencyID,NetWorth,OwnOrRentFlag,CreditRating,MiddleInitial,Country,Income,NumberCreditCards,City,AddressLine2,Employer,Age,AddressLine1,NumberChildren,FirstName,State,Phone,NumberCars,MaritalStatus
Iok7501,321776.0,U,580.0,n,United States of America,94490.0,,Baltimore,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,FM Global,7.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,,wbwsqgtaa,MO,1-637-119-9996,3.0,U
tia7502,2292324.0,R,683.0,,Canada,7037.0,2.0,Kitchener,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,MGIC Investment,48.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,4.0,QGJWCPAPZMWHYHZTNOYSSOQBI,TX,1-560-405-0048,4.0,S
AOI7503,969707.0,O,411.0,u,,419269.0,2.0,Saint John,Cdrxeolwrrxmwmhgexvcstvzz,Ross Stores,14.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,5.0,BHGXDDPUMBESLQMNEPREPTZNNKM,CT,1-261-306-5079,1.0,M
PJQ7504,3899461.0,U,818.0,,United States of America,76681.0,9.0,Berkeley,WKSBVOFGJHQGAEKUYRZHHPH,,29.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,5.0,Xgnvppcxgfnmawlupgfa,UT,1-642-299-6655,4.0,W
SDV7505,3749223.0,R,370.0,,United States of America,209116.0,7.0,Missoula,skxijfqpzshmts,Alliance One International,69.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,4.0,Tfiozpstcftslqtwkgngiiwo,RI,,2.0,U
Hga7506,3658531.0,O,833.0,F,,212203.0,6.0,Salinas,ZETOHHRKIBHCQCKZODIXJJSXCFY,Sally Beauty Holdings,47.0,Ajpkrmtlcbdzr,0.0,fbcahlrhhjoslfzqvvwwvhk,DE,1-388-257-4273,0.0,U
Beo7507,1738460.0,U,536.0,D,Canada,42018.0,2.0,San Jose,LJXAXKUJXQBGWBHJJAAM,Wisconsin Energy,0.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,5.0,Dcgkohfcwyoaxckalqnkrzwq,NM,,5.0,M
Qum7508,3307296.0,R,775.0,,United States of America,90446.0,0.0,Cleveland,Jmlgjkjbqhrudrkqrm,Carpenter Technology,46.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,0.0,Vmnmcsinflxxmmifydckncc,WV,1-632-118-1891,0.0,S
Hud7509,1816419.0,R,765.0,v,United States of America,16274.0,3.0,Huntington,Qqcilgblxyikgr,Liberty Mutual Insurance Group,6.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1.0,Vrkbkkxkddtximspigmlbwzt,NH,1-853-806-4986,1.0,M
jba7510,2599250.0,O,555.0,,Canada,22215.0,6.0,Paterson,Ahtohqjfzfarn,Black & Decker,22.0,Ycltsquohmuugxihqyluhkoy,2.0,RMWCTFTLSVTMCBI,WY,1-220-687-2027,5.0,M
