prospect_gncd,prospect_ddrssln2,prospect_ct,prospect_nmbrcrs,prospect_pstlcd,prospect_mddlntl,prospect_nmbrcrdtcrds,prospect_ddrssln1,prospect_frstnm,prospect_g,prospect_cntr,prospect_nmbrchldrn,prospect_mrtlstts,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_ntwrth
Iok7501,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,Baltimore,3.0,Guudshirvcu,n,,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,wbwsqgtaa,7.0,United States of America,,U,580.0,U,FM Global,321776.0
tia7502,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,Kitchener,4.0,wyggjewbe,,2.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,QGJWCPAPZMWHYHZTNOYSSOQBI,48.0,Canada,4.0,S,683.0,R,MGIC Investment,2292324.0
AOI7503,Cdrxeolwrrxmwmhgexvcstvzz,Saint John,1.0,YMZRQICUTHT,u,2.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,BHGXDDPUMBESLQMNEPREPTZNNKM,14.0,,5.0,M,411.0,O,Ross Stores,969707.0
PJQ7504,WKSBVOFGJHQGAEKUYRZHHPH,Berkeley,4.0,Bcjuycmcen,,9.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,Xgnvppcxgfnmawlupgfa,29.0,United States of America,5.0,W,818.0,U,,3899461.0
SDV7505,skxijfqpzshmts,Missoula,2.0,Nujxguyehf,,7.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,Tfiozpstcftslqtwkgngiiwo,69.0,United States of America,4.0,U,370.0,R,Alliance One International,3749223.0
Hga7506,ZETOHHRKIBHCQCKZODIXJJSXCFY,Salinas,0.0,Neigswk,F,6.0,Ajpkrmtlcbdzr,fbcahlrhhjoslfzqvvwwvhk,47.0,,0.0,U,833.0,O,Sally Beauty Holdings,3658531.0
Beo7507,LJXAXKUJXQBGWBHJJAAM,San Jose,5.0,WNCEOQPLW,D,2.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,Dcgkohfcwyoaxckalqnkrzwq,0.0,Canada,5.0,M,536.0,U,Wisconsin Energy,1738460.0
Qum7508,Jmlgjkjbqhrudrkqrm,Cleveland,0.0,Cskdwtkf,,0.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Vmnmcsinflxxmmifydckncc,46.0,United States of America,0.0,S,775.0,R,Carpenter Technology,3307296.0
Hud7509,Qqcilgblxyikgr,Huntington,1.0,tcxswloetdt,v,3.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,Vrkbkkxkddtximspigmlbwzt,6.0,United States of America,1.0,M,765.0,R,Liberty Mutual Insurance Group,1816419.0
jba7510,Ahtohqjfzfarn,Paterson,5.0,Fkpemasoukih,,6.0,Ycltsquohmuugxihqyluhkoy,RMWCTFTLSVTMCBI,22.0,Canada,2.0,M,555.0,O,Black & Decker,2599250.0
dgc7511,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,Greensboro,5.0,NCEVKLQEEWTA,,3.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,Zaijioc,72.0,United States of America,1.0,M,,O,Interstate Bakeries,490443.0
lql7512,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,Concord,4.0,DODDIDDHXS,,9.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,Mdwdjpdfmbqjaygkfqzqx,40.0,Canada,5.0,M,318.0,O,eBay,3348923.0
Wsk7513,ucxdpiwilpxxhv,Colorado Springs,4.0,Oqnzttrldq,,4.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Ccbccgvldfvoqtzestvkwunn,8.0,United States of America,1.0,D,613.0,R,Boise,331799.0
Ffs7514,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,Mobile,4.0,Lwbawk,v,4.0,,nyakrhdyxravdnhgbtol,10.0,,1.0,U,786.0,R,MDU Resources Group,1167013.0
Kvv7515,,Thousand Oaks,0.0,Ppsrzjdtg,F,10.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,NDNBTVCLKSC,24.0,United States of America,3.0,U,,O,Freescale Semiconductor,3960216.0
