cognome,indirizzo_id,cliente_id,email,data_creazione,negozio_id,nome,attivo
BOYD,138,134,EMMA.BOYD@sakilacustomer.org,2006-02-14 22:04:36,1,EMMA,1
RICHARDS,216,212,WILMA.RICHARDS@sakilacustomer.org,2006-02-14 22:04:36,2,WILMA,1
BYRD,266,261,DEANNA.BYRD@sakilacustomer.org,2006-02-14 22:04:36,1,DEANNA,1
CULPEPPER,383,378,EUGENE.CULPEPPER@sakilacustomer.org,2006-02-14 22:04:37,1,EUGENE,1
JENSEN,264,259,LENA.JENSEN@sakilacustomer.org,2006-02-14 22:04:36,2,LENA,1
JENKINS,87,83,LOUISE.JENKINS@sakilacustomer.org,2006-02-14 22:04:36,1,LOUISE,1
BURKE,247,243,LYDIA.BURKE@sakilacustomer.org,2006-02-14 22:04:36,1,LYDIA,1
JENNINGS,279,274,NAOMI.JENNINGS@sakilacustomer.org,2006-02-14 22:04:37,1,NAOMI,1
EVANS,52,48,ANN.EVANS@sakilacustomer.org,2006-02-14 22:04:36,1,ANN,1
GARRETT,242,238,NELLIE.GARRETT@sakilacustomer.org,2006-02-14 22:04:36,1,NELLIE,1
KAHN,394,389,ALAN.KAHN@sakilacustomer.org,2006-02-14 22:04:37,1,ALAN,1
SHAW,148,144,CLARA.SHAW@sakilacustomer.org,2006-02-14 22:04:36,1,CLARA,1
SELBY,380,375,AARON.SELBY@sakilacustomer.org,2006-02-14 22:04:37,2,AARON,1
RICE,150,146,JAMIE.RICE@sakilacustomer.org,2006-02-14 22:04:36,1,JAMIE,1
GRAY,73,69,JUDY.GRAY@sakilacustomer.org,2006-02-14 22:04:36,2,JUDY,1
ARTIS,350,345,CARL.ARTIS@sakilacustomer.org,2006-02-14 22:04:37,1,CARL,1
SPEAR,333,328,JEFFREY.SPEAR@sakilacustomer.org,2006-02-14 22:04:37,2,JEFFREY,1
ROSS,84,80,MARILYN.ROSS@sakilacustomer.org,2006-02-14 22:04:36,1,MARILYN,1
LAWTON,366,361,LAWRENCE.LAWTON@sakilacustomer.org,2006-02-14 22:04:37,2,LAWRENCE,1
CUNNINGHAM,184,180,STACY.CUNNINGHAM@sakilacustomer.org,2006-02-14 22:04:36,2,STACY,1
HOPKINS,268,263,HILDA.HOPKINS@sakilacustomer.org,2006-02-14 22:04:36,1,HILDA,1
BOWENS,452,447,CLIFFORD.BOWENS@sakilacustomer.org,2006-02-14 22:04:37,1,CLIFFORD,1
SULLIVAN,109,105,DAWN.SULLIVAN@sakilacustomer.org,2006-02-14 22:04:36,1,DAWN,1
ANDERSON,15,11,LISA.ANDERSON@sakilacustomer.org,2006-02-14 22:04:36,2,LISA,1
MEYER,220,216,NATALIE.MEYER@sakilacustomer.org,2006-02-14 22:04:36,1,NATALIE,1
BAUGH,322,317,EDWARD.BAUGH@sakilacustomer.org,2006-02-14 22:04:37,2,EDWARD,1
RILEY,191,187,BRITTANY.RILEY@sakilacustomer.org,2006-02-14 22:04:36,2,BRITTANY,1
MALCOLM,583,577,CLIFTON.MALCOLM@sakilacustomer.org,2006-02-14 22:04:37,2,CLIFTON,1
JIMENEZ,282,277,OLGA.JIMENEZ@sakilacustomer.org,2006-02-14 22:04:37,2,OLGA,1
NGUYEN,233,229,TAMARA.NGUYEN@sakilacustomer.org,2006-02-14 22:04:36,1,TAMARA,1
PARKER,51,47,FRANCES.PARKER@sakilacustomer.org,2006-02-14 22:04:36,1,FRANCES,1
DOWD,463,458,LLOYD.DOWD@sakilacustomer.org,2006-02-14 22:04:37,1,LLOYD,1
CARROLL,180,176,JUNE.CARROLL@sakilacustomer.org,2006-02-14 22:04:36,1,JUNE,1
POWELL,89,85,ANNE.POWELL@sakilacustomer.org,2006-02-14 22:04:36,2,ANNE,1
HORTON,283,278,BILLIE.HORTON@sakilacustomer.org,2006-02-14 22:04:37,2,BILLIE,1
SCOTT,38,34,REBECCA.SCOTT@sakilacustomer.org,2006-02-14 22:04:36,2,REBECCA,1
MCCOY,222,218,VERA.MCCOY@sakilacustomer.org,2006-02-14 22:04:36,1,VERA,1
ROBERT,336,331,ERIC.ROBERT@sakilacustomer.org,2006-02-14 22:04:37,1,ERIC,1
HUDSON,166,162,LAUREN.HUDSON@sakilacustomer.org,2006-02-14 22:04:36,2,LAUREN,1
MORRISSEY,327,322,JASON.MORRISSEY@sakilacustomer.org,2006-02-14 22:04:37,1,JASON,1
PENA,303,298,ERIKA.PENA@sakilacustomer.org,2006-02-14 22:04:37,1,ERIKA,1
SPURLOCK,429,424,KYLE.SPURLOCK@sakilacustomer.org,2006-02-14 22:04:37,2,KYLE,1
WINDHAM,547,541,DARREN.WINDHAM@sakilacustomer.org,2006-02-14 22:04:37,2,DARREN,1
