telefono,indirizzo_id,distretto,città_id,indirizzo,indirizzo2,codice_postale
322888976727,268,National Capital Reg,323,1831 Nam Dinh Loop,,51990.0
386759646229,120,Central Java,403,544 Malmö Parkway,,63502.0
357445645426,273,Kerala,395,1519 Ilorin Place,,49298.0
892775750063,25,Dhaka,525,262 A Coruña (La Coruña) Parkway,,34418.0
524567129902,456,Sinaloa,154,814 Simferopol Loop,,48745.0
954786054144,585,Ninawa,344,1208 Tama Loop,,73605.0
634445428822,370,Okinawa,377,1565 Tangail Manor,,45750.0
880756161823,283,Bursa,222,457 Tongliao Loop,,56254.0
946114054231,568,Sokoto & Kebbi & Zam,488,1342 Sharja Way,,93655.0
667648979883,483,Ha Darom,36,632 Usolje-Sibirskoje Parkway,,73085.0
490211944645,129,Gauteng,85,569 Baicheng Lane,,60304.0
131370665218,511,Kalimantan Barat,412,1152 al-Qatif Lane,,44816.0
967274728547,299,Ohio,140,32 Pudukkottai Lane,,38834.0
380657522649,13,Masqat,329,613 Korolev Drive,,45844.0
737229003916,398,Moskova,278,954 Lapu-Lapu Way,,8816.0
674805712553,324,Mxico,451,1145 Vilnius Manor,,73170.0
231383037471,343,Western Cape,392,1443 Mardan Street,,31483.0
240776414296,447,Inner Mongolia,540,105 Dzerzinsk Manor,,48570.0
182178609211,592,Nantou,546,1923 Stara Zagora Lane,,95179.0
987442542471,260,Central Luzon,192,127 Iwakuni Boulevard,,20777.0
102396298916,365,Arecibo,32,1009 Zanzibar Lane,,64875.0
157133457169,431,Jharkhand,418,1596 Acuña Parkway,,70425.0
879347453467,517,Ontario,312,548 Uruapan Street,,35653.0
96110042435,306,Kaliningrad,254,1883 Maikop Lane,,68469.0
38158430589,333,West Java,119,1860 Taguig Loop,,59550.0
278669994384,582,Kaohsiung,168,1568 Celaya Parkway,,34750.0
252265130067,135,Taka-Karpatia,345,1752 São Leopoldo Parkway,,14014.0
508800331065,320,Tel Aviv,57,1542 Lubumbashi Boulevard,,62472.0
835433605312,98,Caraga,82,152 Kitwe Parkway,,53182.0
844018348565,579,Qaraghandy,598,521 San Juan Bautista Tuxtepec Place,,95093.0
239357986667,567,Texas,178,1894 Boa Vista Way,,77464.0
640843562301,600,Inner Mongolia,241,1837 Kaduna Parkway,,82580.0
680428310138,56,Galicia,1,939 Probolinggo Loop,,4166.0
905903574913,209,Alto Paran,122,1679 Antofagasta Street,,86599.0
604177838256,402,Krasnojarsk,39,616 Hagonoy Avenue,,46043.0
6172235589,4,QLD,576,1411 Lillydale Drive,,
265153400632,266,Cagayan Valley,548,862 Xintai Lane,,30065.0
48265851133,178,Miranda,373,1848 Salala Boulevard,,25220.0
638409958875,529,Nghe An,571,600 Purnea (Purnia) Avenue,,18043.0
594319417514,232,Phnom Penh,406,754 Valencia Place,,87911.0
325526730021,466,Northern Mindanao,182,118 Jaffna Loop,,10447.0
581174211853,146,Scotland,149,483 Ljubertsy Parkway,,60562.0
537374465982,399,Asturia,181,331 Bydgoszcz Parkway,,966.0
358178933857,117,Sucre,132,1079 Tel Aviv-Jaffa Boulevard,,10885.0
129953030512,417,Punjab,208,791 Salinas Street,,40509.0
665993880048,125,Uttar Pradesh,164,211 Chiayi Drive,,58186.0
860452626434,10,Texas,295,1795 Santiago de Compostela Way,,18743.0
866092335135,183,Kirov,270,1089 Iwatsuki Avenue,,35109.0
62781725285,287,Ponce,411,1405 Chisinau Place,,8160.0
685010736240,274,California,446,920 Kumbakonam Loop,,75090.0
63937119031,243,West Java,118,47 Syktyvkar Lane,,22236.0
479007229460,234,Botosani,86,1256 Bislig Boulevard,,50598.0
998009777982,30,,121,18 Duisburg Boulevard,,58327.0
726875628268,480,Sumy,385,421 Yaoundé Street,,11363.0
182059202712,531,Friuli-Venezia Giuli,551,1986 Sivas Place,,95775.0
863080561151,571,Huánuco,214,1746 Faaa Way,,32515.0
347487831378,60,Tahiti,397,1668 Saint Louis Place,,39072.0
650496654258,361,Madhya Pradesh,464,45 Aparecida de Goiânia Place,,7431.0
377633994405,584,Campeche,103,1819 Alessandria Loop,,53829.0
196568435814,105,Asir,2,733 Mandaluyong Place,,77459.0
437829801725,598,Fejr,512,42 Fontana Avenue,,14684.0
960505250340,375,Karnataka,191,1049 Matamoros Parkway,,69640.0
790651020929,288,Xinxiang,277,226 Halifax Street,,58492.0
128499386727,575,Sichuan,299,1052 Pathankot Avenue,,77397.0
959949395183,279,Haryana,263,1884 Shikarpur Avenue,,85548.0
14465669789,581,Morelos,131,186 Skikda Lane,,89422.0
953689007081,181,Tamaulipas,330,146 Johannesburg Way,,54132.0
