nmbrchldrn,ddrssln1,mrtlstts,gndr,ncm,g,lstnm,wnrrntflg,ntwrth,nmbrcrdtcrds,ddrssln2,mddlntl,crdtrtng,pstlcd,ct,nmbrcrs,phn,cntr,gncd,stt,mplr,frstnm
,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,U,,94490.0,7.0,Iokwiqojocjanndatkdzgymym,U,321776.0,,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,n,580.0,Guudshirvcu,Baltimore,3.0,1-637-119-9996,United States of America,Iok7501,MO,FM Global,wbwsqgtaa
4.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,S,M,7037.0,48.0,tiabxgseasiibxakctfzhfwotp,R,2292324.0,2.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,,683.0,wyggjewbe,Kitchener,4.0,1-560-405-0048,Canada,tia7502,TX,MGIC Investment,QGJWCPAPZMWHYHZTNOYSSOQBI
5.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,M,,419269.0,14.0,AOIWIWTIHIXOJ,O,969707.0,2.0,Cdrxeolwrrxmwmhgexvcstvzz,u,411.0,YMZRQICUTHT,Saint John,1.0,1-261-306-5079,,AOI7503,CT,Ross Stores,BHGXDDPUMBESLQMNEPREPTZNNKM
5.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,W,m,76681.0,29.0,PJQSPMBUHYQKBOZ,U,3899461.0,9.0,WKSBVOFGJHQGAEKUYRZHHPH,,818.0,Bcjuycmcen,Berkeley,4.0,1-642-299-6655,United States of America,PJQ7504,UT,,Xgnvppcxgfnmawlupgfa
4.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,U,,209116.0,69.0,SDVLJWXENNGWCQMIW,R,3749223.0,7.0,skxijfqpzshmts,,370.0,Nujxguyehf,Missoula,2.0,,United States of America,SDV7505,RI,Alliance One International,Tfiozpstcftslqtwkgngiiwo
0.0,Ajpkrmtlcbdzr,U,F,212203.0,47.0,Hgakmykzeunwkiaxayulpwyxrcuev,O,3658531.0,6.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,F,833.0,Neigswk,Salinas,0.0,1-388-257-4273,,Hga7506,DE,Sally Beauty Holdings,fbcahlrhhjoslfzqvvwwvhk
5.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,M,M,42018.0,0.0,Beotomyndkiqryllkvpavllytov,U,1738460.0,2.0,LJXAXKUJXQBGWBHJJAAM,D,536.0,WNCEOQPLW,San Jose,5.0,,Canada,Beo7507,NM,Wisconsin Energy,Dcgkohfcwyoaxckalqnkrzwq
0.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,S,,90446.0,46.0,Qumxrssnd,R,3307296.0,0.0,Jmlgjkjbqhrudrkqrm,,775.0,Cskdwtkf,Cleveland,0.0,1-632-118-1891,United States of America,Qum7508,WV,Carpenter Technology,Vmnmcsinflxxmmifydckncc
1.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,M,,16274.0,6.0,Hudlpfwjagzbnznyhamjkhbf,R,1816419.0,3.0,Qqcilgblxyikgr,v,765.0,tcxswloetdt,Huntington,1.0,1-853-806-4986,United States of America,Hud7509,NH,Liberty Mutual Insurance Group,Vrkbkkxkddtximspigmlbwzt
2.0,Ycltsquohmuugxihqyluhkoy,M,m,22215.0,22.0,jbabemsfwdyeihxq,O,2599250.0,6.0,Ahtohqjfzfarn,,555.0,Fkpemasoukih,Paterson,5.0,1-220-687-2027,Canada,jba7510,WY,Black & Decker,RMWCTFTLSVTMCBI
1.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,M,m,210038.0,72.0,dgcnbxfhc,O,490443.0,3.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,,,NCEVKLQEEWTA,Greensboro,5.0,,United States of America,dgc7511,Saskatchewan,Interstate Bakeries,Zaijioc
5.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,M,,307402.0,40.0,lqlslgqsvyfxqnzuwbfg,O,3348923.0,9.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,,318.0,DODDIDDHXS,Concord,4.0,1-268-630-3843,Canada,lql7512,NE,eBay,Mdwdjpdfmbqjaygkfqzqx
1.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,D,m,,8.0,Wskjvrujdwku,R,331799.0,4.0,ucxdpiwilpxxhv,,613.0,Oqnzttrldq,Colorado Springs,4.0,1-915-548-9541,United States of America,Wsk7513,AR,Boise,Ccbccgvldfvoqtzestvkwunn
1.0,,U,,432425.0,10.0,Ffshsiomkzjonhxjhunfsao,R,1167013.0,4.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,v,786.0,Lwbawk,Mobile,4.0,1-536-880-0961,,Ffs7514,IL,MDU Resources Group,nyakrhdyxravdnhgbtol
3.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,U,,122041.0,24.0,Kvvverfkpazpzzkrqniixrhnw,O,3960216.0,10.0,,F,,Ppsrzjdtg,Thousand Oaks,0.0,1-494-335-6022,United States of America,Kvv7515,VA,Freescale Semiconductor,NDNBTVCLKSC
4.0,,M,f,302205.0,18.0,mpzqnwnrmaozfsstcqtrc,O,242246.0,5.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,G,623.0,,Rochester,1.0,1-814-158-3550,United States of America,mpz7516,ID,Superior Energy Services,Zmstbluqkipzaojfsomtbdddguq
1.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,S,F,367555.0,79.0,Jhcbaxyzijphmmvpampdgvgisnab,O,1217660.0,1.0,Havgczldcpfmwfzj,s,845.0,,Garden Grove,1.0,1-420-580-0795,United States of America,Jhc7517,TX,Monsanto,dpqgvuaoijmkxsesvililpxcrwqe
5.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,M,M,106025.0,36.0,dbqcukoddoiwg,U,1229655.0,7.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,l,645.0,Rxdsunq,Tampa,4.0,1-924-305-1666,United States of America,dbq7518,New Brunswick,Newfield Exploration,IHUGYGSRDWILVOFBAKUR
2.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,W,m,106690.0,21.0,Xchoxlbkffuvox,O,1157831.0,1.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,,495.0,JXHVEEOU,Fullerton,2.0,1-450-082-2122,Canada,Xch7519,Alberta,Loews,aefotdcronamhkzsfpvifmobgchmsp
2.0,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,M,m,29373.0,4.0,oirfujtvl,O,,8.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,Z,371.0,XHJQCDPOO,Washington,2.0,1-573-009-1404,Canada,oir7520,PA,Apache,jdeyqkerjerjpht
3.0,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,S,M,168189.0,72.0,Fqbovz,R,,1.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,O,462.0,rapkjpmvp,Norfolk,2.0,1-603-897-9894,United States of America,Fqb7521,Nova Scotia,Robert Half International,Lwihnxoihqqrvjydsijd
,Dmyivtczopuqajpnjqvvgbhxynvduub,S,,264756.0,1.0,qextfjyytqwbmdrlykbfnhvqrmota,U,3467922.0,7.0,Rirmrpvlknyho,,375.0,Slskxm,Sydney,,1-947-161-6502,United States of America,qex7522,RI,Viacom,nmnervucuk
2.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,S,,44480.0,98.0,Hpiedhvkedqqdxsoedt,U,46859.0,10.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,,516.0,FXHXLG,Winnipeg,1.0,1-586-826-9847,Canada,Hpi7523,OR,Robert Half International,hgjkxxbf
5.0,Esuycdxsjfbrqbtluspxsehk,,,87207.0,35.0,Fjdafgbcrml,R,2937668.0,,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,,703.0,ovlziicdezok,Wilmington,1.0,1-217-243-2668,Canada,Fjd7524,CA,CSX,Zangtryzlhmxo
2.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,W,,238434.0,99.0,Cgtcmbl,O,2388613.0,7.0,Rpzwirgfyiw,,734.0,jsxcpvao,El Monte,4.0,1-857-211-5728,United States of America,Cgt7525,MO,Country Financial Services,FFJGEQD
2.0,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,M,M,,49.0,Lwxudfgcqawccntqaucdaeym,U,3116283.0,4.0,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,,469.0,Ykerbceq,Sterling Heights,0.0,1-089-966-6281,United States of America,Lwx7526,Prince Edward Island,Procter & Gamble,Pdcxrihnl
0.0,vnyndcximwxhecv,S,,391354.0,72.0,epyxtfsrijhddstgaxkbgmlayjtk,O,2671950.0,2.0,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,,595.0,VVMSNWEBT,Pembroke Pines,3.0,,United States of America,epy7527,Quebec,Ingles Markets,Zckhcacwaelzutaodqalxyjrkh
0.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,U,m,419165.0,41.0,Affcha,O,3899593.0,1.0,Acdrcqabtcdgmgl,M,410.0,bibueqwbejem,Philadelphia,3.0,1-231-342-6874,United States of America,Aff7528,KS,Forest Laboratories,sqrosgqnpifxjx
2.0,,W,,396509.0,54.0,mfcestd,O,2537332.0,10.0,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,S,475.0,gehpynlk,Glendale,3.0,,Canada,mfc7529,NV,Dentsply International,Erqzkkllazeobgthnmgsbtj
2.0,GVSBHGBDDVJFNNOZNNPJWCOI,,,145161.0,11.0,Slfbmvc,R,733236.0,2.0,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,S,,Piwlxtg,El Monte,0.0,1-602-637-1838,United States of America,Slf7530,TN,RadioShack,Lcziayaozecoqqluasolkmmcldm
5.0,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,W,,263206.0,0.0,Cxuousxqyrfgjvpvuopyfguqva,O,,3.0,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,,519.0,Ujlshmosjkid,Warwick,2.0,1-003-982-8627,United States of America,Cxu7531,WY,Century Aluminum,Gcnczmuxviqaxtsdzmzhtro
3.0,BIQIOQOHLQSTBRUFOI,D,,190371.0,27.0,GZOPDOKHJAJYSDFLOFVZMBVAHOKC,U,3397276.0,5.0,Rvkghtzjwsaiovxljurbnpwizttyrmhlfwdhlncca,F,841.0,cwburwnupuj,Milwaukee,3.0,1-136-358-6852,United States of America,GZO7532,British Columbia,,Rsoobsqytvjycob
1.0,Llfaqkbemnoy,U,,203968.0,95.0,DRWTVTDSG,O,2444257.0,6.0,RUWAYGWKFXAGQZBYRVUGGDPZRTDECHQOMAVILHPAXYSESJMBBLBPFCDUICKUXCAAKLNOFIX,A,540.0,CNEZMHTKIAEV,Phoenix,3.0,1-123-528-2965,United States of America,DRW7533,LA,FPL Group,Pjvadgt
3.0,zwgrnwhxvusgkvueiielqzidnstoaqltuigftcyrqkcuquanepjiliagtqkwjqiozxzx,U,f,428323.0,35.0,setksinlvlrjwnfu,R,71520.0,10.0,Rrtbpdznkfogtppnsueqxwchhvupvxearkwlaafqtagtccoryylzdpzwrre,N,540.0,kixvppuqtd,Anchorage,1.0,1-136-565-2501,United States of America,set7534,HI,Lockheed Martin,GUBKOKITTSKVYM
1.0,Znocudhaahssenzuileezlvwcpqtxslrtxdjffjgyauodhhswyydopvxfebhjququbihrdxa,M,,159980.0,96.0,Pyoixliri,O,1911091.0,6.0,Nrmtyquwcfjecduszffruqyerxzfnedhfpqeaxemkbcmtzxrzhtyrurf,,,jrhynxfi,Madison,4.0,1-317-986-1984,United States of America,Pyo7535,NY,Sanmina-SCI,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU
0.0,elziqiolbqswwrxbeuskfibanpfkbhhrivuqjjjrvlnmopcfoedpsgupskjfbkk,W,M,266852.0,96.0,FSHWGIKPYLTPSBKMFGDAPUHKFTQSOQ,O,988775.0,6.0,Pfhnpyrpjsalubosyapounfypchnihuddngommcnsueq,,424.0,dnhtjyu,Fontana,0.0,1-265-603-1262,Canada,FSH7536,TX,Iron Mountain,Kuteauo
5.0,,M,,206973.0,49.0,Tdxyljuxporjhdumcvfmv,R,3919363.0,2.0,Unwsbeiwniraokeimaaqgucfssakgswxqsvaqwlmpkyjycdfefwrm,,623.0,YKOVOTYB,Charlotte,5.0,,United States of America,Tdx7537,AZ,OfficeMax,Hkfofpndygljbeo
1.0,atydogjpqphuwhegtbukkqiaeakrtrn,S,,258221.0,,Sbnxcsrozzcufdoyvckpplofysx,O,428918.0,4.0,XHQNMCEJKXOQYVSZVESLKC,O,792.0,WNNMWJ,Richmond,5.0,1-156-668-6882,Canada,Sbn7538,ME,AMR,Kengxgsu
4.0,Hlotorcbtobuceb,S,f,428508.0,27.0,Piqizouhxiw,O,58134.0,6.0,oiahifvwkwamorcniuglindihirzlwgmmiyhtfjstwxtwsllagfdxdeyvswv,C,718.0,Oktkljv,Santa Clarita,4.0,1-164-648-3203,United States of America,Piq7539,NH,Kohl's,Plywuoa
0.0,gsrdigbqfwrahybxrtm,M,M,,98.0,IXDSKQTZHJGNVZHBKKOYZOPMYLJPYC,O,3703767.0,6.0,Toumjfbsumpgfuskpydjeibaxi,,401.0,,Yellow Knife,4.0,1-839-795-1027,,IXD7540,KY,Cigna,zfcwsxpjzyqelkxg
5.0,Coscogvzwodkdajhxnrqmrjqxiaknmygvhpe,M,,58953.0,,wsnjomkxbtybfnmtcjhvmblfwamnwd,R,433859.0,2.0,Wvauhtyvksyytnhclkdonvxrkrlafsiewsqkmnhqwggkzfcdzhuathzdbx,,557.0,GXFLSISZUY,Oxnard,4.0,1-958-412-4252,United States of America,wsn7541,Prince Edward Island,West,Yxvczhqjwgnhowiu
5.0,qurznxuiovpxwpivddydiaghhcwdmflzhwciipvaovelvwfpmkpjs,W,M,409682.0,56.0,Jkpmtcj,O,3002044.0,7.0,Eqmygcxijmgawhtpqdujtsonetcpobmyzxwgofxefsuosvxanmprjgnksatbjdgkpdcdsdnem,A,393.0,gzexcrngivl,Huntington Beach,5.0,1-392-335-1020,United States of America,Jkp7542,British Columbia,Monsanto,Grkknjyfgbhtyrhxzeaoeoyirwfa
4.0,,M,M,340191.0,94.0,CCFFVCOHCLUUXZIQTCFCUHEYN,,1124168.0,10.0,Pmoymlejwidgbbykomyvmjwymwejrygsfxligdlfwlzpnnledoomveftohwr,,557.0,yzoikhwrd,Durham,2.0,1-912-050-7605,United States of America,CCF7543,CT,Reliant Energy,Vfrdst
5.0,RELJYREDKQEKGOORBLRKOUIC,U,,238216.0,98.0,yljvuglvt,O,2081541.0,5.0,Msanyqaxwwzhwbwkzjqnzjjxzrzjxzaeoszfzolqsglgjh,,465.0,Gdbktega,Naperville,4.0,1-075-551-9919,United States of America,ylj7544,WA,Idearc,Hqcswumjvwbemosmy
1.0,Wrygjlskxmkivztjbmtjvfbvihenmhwtllhduhmgtkqtzfanadnoereerqlbekgfoyblrstsnrkr,M,F,113171.0,8.0,ZBBXAWVJAAL,O,1897076.0,6.0,hkyochorqgtokxgozmoncalaaiw,V,,Kdcqzpvf,Albuquerque,0.0,1-013-611-2674,Canada,ZBB7545,ND,Neiman Marcus,Ectbhkmbvwkwdbn
,Yewxbqpnfgh,W,m,234797.0,90.0,fqekemquvstw,,235172.0,10.0,Datdnghoiymltcayulgkgxywi,,485.0,Tbwgwtmgcu,Newark,5.0,1-656-865-7544,United States of America,fqe7546,ID,O'Reilly Automotive,Bdbgqpllbnrmiirpct
2.0,Bqlmkwlegamnrwsjroeagidzsvulscedtlmkbngoaax,M,,225322.0,34.0,Wpwhilrlzng,,639573.0,2.0,NSZUOXSAHAQLSGYVDSNBNSQBCWHESEFJFUFMMZLEKXZHSZAJNODREZPGNHTMFBRV,,303.0,Mwmfs,Miami,4.0,1-879-870-7379,United States of America,Wpw7547,Quebec,Cliffs Natural Resources,Ftszluaxcsoxdfbmdd
2.0,ZWRPOZPZEWIWCZAQLSPRTLWGIYKJDXHYHEAKZRWYARNKZBYQLQDIDEBNSGEARGERSLEY,W,,192689.0,25.0,vpzxgcwljllsq,O,2667082.0,4.0,,,846.0,goelqgcts,London,1.0,1-366-625-9813,Canada,vpz7548,ID,Health Management Associates,Qrdnpjquwnixfocqhsrlkcxmelwijl
4.0,VDBAVRMWFYBDZUILPKFXIVIYGFUU,,,348685.0,50.0,Yfzmtcvxc,O,2598634.0,1.0,,,621.0,ucwygjzs,Worcester,5.0,1-359-462-7089,Canada,Yfz7549,AL,Chevron,Kkiolpmrgzmnjanqc
4.0,Kzlkcchbfcabnbajwaoxdndbhoyzdboubvbjf,D,,401229.0,85.0,douvwdwiwrxoivzaojazinrhswjv,O,1074671.0,,,,331.0,fjlfqftwg,Jacksonville,3.0,,United States of America,dou7550,UT,Exide Technologies,unzegilpp
4.0,hfuyqlsmbesrylepu,M,M,38597.0,60.0,FDJOVRSOCWEIKZ,R,2272997.0,9.0,HLOJHZJWUXABGARNAABHGKSPRTSMXFEGJQLZBASFMOOMEJAIWUDLITCCGCTJFDCOD,,401.0,Tocujgaiaq,Nashua,5.0,1-153-396-8333,United States of America,FDJ7551,MS,Convergys,xetqkitwlh
2.0,Arrfoheemxhniocfxbsldznwtzgxybozxvqgxeeabgdfvtgaltiqncicaaanvqketikpvlp,S,,,95.0,ufutrfkevxnbupjcetrpltw,R,702000.0,0.0,Duisjsopcacwllrstuypvsbbsvkdatbgbuhcrhcbyzbfpde,,644.0,kurjmmgixxfd,Newport News,2.0,1-144-623-1308,United States of America,ufu7552,AK,Dominion Resources,TWRRGULRYKYUWZYBQQFMIFFKVK
