AgencyID,NumberCreditCards,NumberChildren,OwnOrRentFlag,NetWorth,LastName,FirstName,Age,Phone,NumberCars,PostalCode,CreditRating,State,City,Gender,MiddleInitial,AddressLine1,AddressLine2
PEL0,,7.0,O,2246211.0,PELLANw,N2tti,144.0,1 712 522 6088,,T6b1i2,359.0,MA,Fairbanke,f,,21847 olympia street,
LED1,5.0,6.0,U,2762442.0,LEsUC,hRUDY,17.0,1 626 426 4298,2.0,77281,493.0,PA,Qu2bec,F,,245 congress court,APT. 624
lat2,4.0,0.0,O,1849887.0,katif,irelanx,,1 524 787 8784,1.0,91355,284.0,Albertq,jenderson,,,6517 frailing west,
RUD3,7.0,5.0,O,795698.0,RUDDICo,Mistu,127.0,1 741 997 1688,0.0,36615,,AR,Salwm,,,11449 blalock park,
JAY4,1.0,3.0,O,1650951.0,JAYAMANNw,earena,98.0,1 002 194 1991,1.0,t6a173,564.0,OR,roledo,f,M,18354 dodd court,Apt. 619
tod5,2.0,1.0,R,3939074.0,todo,Paulettf,60.0,1 441 371 7651,1.0,A2b1c3,234.0,VA,Corp8sCbristi,M,Z,14117 roxboro street,
Kan6,1.0,1.0,O,3997428.0,Kanjo,AMqLITA,27.0,1 957 940 5980,2.0,49513,323.0,OH,SaitLak2City,m,R,24697 FLORENCE WEST,
Din7,0.0,2.0,U,4236918.0,Dijkel,E4nesto,82.0,1 768 633 4096,2.0,Mrd1v6,417.0,Princewr1ardIsland,Brkwnsvillr,,Z,6488 applewood drive,
Thi8,3.0,,O,2527235.0,Thib8reaux,Toby,30.0,1 107 689 2155,1.0,g6c1q1,529.0,NV,Escondixo,,,17404 gale court,
May9,,0.0,O,3186867.0,Mayo,evaggelia,32.0,1 173 594 6096,1.0,99716,557.0,On6ario,LosAngelrz,,,15913 alexis street,
mahq0,3.0,2.0,O,205457.0,mahendrx,umakantb,74.0,1 561 520 0611,2.0,s2b1w1,562.0,TX,Westfovinz,,U,18313 5th lane,
Sia11,3.0,8.0,R,1991033.0,Siztl,terriw,94.0,1 730 406 9727,1.0,M6F1W1,432.0,NE,SanB6enavenyurs,,,13653 collier avenue,
crs12,2.0,6.0,U,1664086.0,crawl4y,Marypwt,12.0,,3.0,95118,280.0,AR,Lexkngton,,,15306 pike park,
cac13,3.0,2.0,R,317411.0,dacao,Catterin,109.0,1 207 867 4589,3.0,H2r1v7,67.0,MI,HayRicer,m,,1540 crestmere north,
HoV14,4.0,1.0,O,216428.0,HIV4LY,anjissa,58.0,1 478 629 9641,1.0,19217,557.0,MA,Torinto,,W,10790 bonita crescent,
Pesw5,2.0,1.0,O,1866591.0,Peschk2,Akour,72.0,1 026 208 8595,1.0,21228,799.0,TN,Dender,,,24679 AIRPORT CRESCENT,Apt. 290
