postal_code,district,address,country,city_id,country_id,city,phone,address_id,address2
,Alberta,47 MySakila Drive,Canada,300,20,Lethbridge,,1,
,QLD,28 MySQL Boulevard,Australia,576,8,Woodridge,,2,
,Alberta,23 Workhaven Lane,Canada,300,20,Lethbridge,14033335568.0,3,
,QLD,1411 Lillydale Drive,Australia,576,8,Woodridge,6172235589.0,4,
35200.0,Nagasaki,1913 Hanoi Way,Japan,463,50,Sasebo,28303384290.0,5,
17886.0,California,1121 Loja Avenue,United States,449,103,San Bernardino,838635286649.0,6,
83579.0,Attika,692 Joliet Street,Greece,38,39,Athenai,448477190408.0,7,
53561.0,Mandalay,1566 Inegl Manor,Myanmar,349,64,Myingyan,705814003527.0,8,
42399.0,Nantou,53 Idfu Parkway,Taiwan,361,92,Nantou,10655648674.0,9,
18743.0,Texas,1795 Santiago de Compostela Way,United States,295,103,Laredo,860452626434.0,10,
93896.0,Central Serbia,900 Santiago de Compostela Parkway,Yugoslavia,280,108,Kragujevac,716571220373.0,11,
77948.0,Hamilton,478 Joliet Way,New Zealand,200,68,Hamilton,657282285970.0,12,
45844.0,Masqat,613 Korolev Drive,Oman,329,71,Masqat,380657522649.0,13,
53628.0,Esfahan,1531 Sal Drive,Iran,162,46,Esfahan,648856936185.0,14,
1027.0,Kanagawa,1542 Tarlac Parkway,Japan,440,50,Sagamihara,635297277345.0,15,
10672.0,Haryana,808 Bhopal Manor,India,582,44,Yamuna Nagar,465887807014.0,16,
29610.0,Osmaniye,270 Amroha Parkway,Turkey,384,97,Osmaniye,695479687538.0,17,
16266.0,California,770 Bydgoszcz Avenue,United States,120,103,Citrus Heights,517338314235.0,18,
72878.0,Madhya Pradesh,419 Iligan Lane,India,76,44,Bhopal,990911107354.0,19,
54308.0,England,360 Toulouse Parkway,United Kingdom,495,102,Southend-on-Sea,949312333307.0,20,
81766.0,Kalmykia,270 Toulon Boulevard,Russian Federation,156,80,Elista,407752414682.0,21,
43331.0,Kaduna,320 Brest Avenue,Nigeria,252,69,Kaduna,747791594069.0,22,
72192.0,Northern Cape,1417 Lancaster Avenue,South Africa,267,85,Kimberley,272572357893.0,23,
21954.0,Nothwest Border Prov,1688 Okara Way,Pakistan,327,72,Mardan,144453869132.0,24,
34418.0,Dhaka,262 A Corua (La Corua) Parkway,Bangladesh,525,12,Tangail,892775750063.0,25,
