AgencyID,MaritalStatus,CreditRating,Country,Income,State,OwnOrRentFlag,FirstName,LastName,MiddleInitial,Phone,NumberChildren,Age,City,AddressLine1,Gender,AddressLine2,PostalCode
PEL0,W,866.0,UnigewStatss9fAmerica,40894.0,MA,O,Nettu,9ELLAND,,1 712 522 6088,2.0,61.0,Fa7rbanks,218r7olympiastre25,f,,T6b 1i1
LED1,U,705.0,7nitedStates0bAmerlca,149265.0,PA,U,TR8DY,LEDUf,,1 626 426 4298,4.0,11.0,Quevec,245congfeqsdourt,F,APT. 624,77281
lat2,S,733.0,UnitedS4ahesofAmeduca,118691.0,Albe3ta,O,ireoand,latig,,1 524 787 8784,1.0,,Hwnderson,t517frailijgwewt,,,91355
RUD3,W,,Cabada,196307.0,AR,O,Mis6i,RUDD8CK,,1 741 997 1688,0.0,60.0,Salwm,11e49voalockpark,,,36615
JAY4,M,1026.0,danada,244028.0,OR,O,sarega,yAYAMANNE,M,1 002 194 1991,4.0,55.0,T9ledo,18w54dkddcourt,f,Apt. 619,t6a 1i3
tod5,M,880.0,UnitedStages0fxkerica,218135.0,VA,R,Psulette,todo,Z,1 441 371 7651,2.0,49.0,Corpusdhriati,q4117roaborpstreet,M,,A2b 1v3
Kan6,,677.0,Canadz,253539.0,OH,O,AnALITA,Kann8,R,1 957 940 5980,2.0,53.0,SsltLakeC9ty,24697vLOR4NCEWES4,m,,49513
Din7,M,409.0,UnitesSfa6esofAkerica,193099.0,0fincesdwardIsland,U,Ernest9,Dinkep,Z,1 768 633 4096,0.0,82.0,Brownsfklle,6488apllewo9ddeive,,,M5d 1v6
Thi8,U,739.0,UnifedStqtesofAm3gica,246028.0,NV,O,Toby,fhinodeaux,,1 107 689 2155,,42.0,Esconsido,16404galecohrt,,,V6c 1q1
May9,M,998.0,UnitedStatesofqhegics,346543.0,Ontar8o,O,svangelia,Mayo,,1 173 594 6096,3.0,71.0,Loswbgeles,15913ai2aisstreet,,,99716
mzh10,M,1008.0,Canwda,98916.0,TX,O,umaianth,mahendta,U,1 561 520 0611,0.0,32.0,WextCkvina,1831356hlage,,,A2b 1w1
Siz12,M,674.0,UnifsdztqtesofAmerica,286777.0,NE,R,terr7e,xizto,,1 730 406 9727,1.0,38.0,SanBjwnavengura,136r3dollierzvenue,,,M5F 1W1
c4a12,U,636.0,UnifedSyateqofAjerica,275173.0,AR,U,Marylat,drawley,,,1.0,37.0,Lexinbton,1y3069ikepark,,,95118
dacq3,U,483.0,UniyedStat3sofAme5icw,22365.0,MI,R,Cathegin,daxal,,1 207 867 4589,3.0,21.0,HsyRiver,1640crestnerenogth,m,,H2f 1v7
HIV24,M,890.0,UmotedStatesocwmerica,78264.0,MA,O,annisea,HIVEkY,W,1 478 629 9641,1.0,24.0,Toront0,20790bojitacresc3nt,,,19217
