St,NumCreCa,LaNa,AgID,Co,Ge,NWo,MaSta,Ag,CreRa,Ci,Em,MiIn,NumCh,FirN,PoCo,AddrLi1,Inc,AddLi2,NuCa,OORFl,Pho
MO,,Iokwiqojocjanndatkdzgymym,Iok7501,United States of America,,321776.0,U,7.0,580.0,Baltimore,FM Global,n,,wbwsqgtaa,Guudshirvcu,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,94490.0,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,3.0,U,1-637-119-9996
TX,2.0,tiabxgseasiibxakctfzhfwotp,tia7502,Canada,M,2292324.0,S,48.0,683.0,Kitchener,MGIC Investment,,4.0,QGJWCPAPZMWHYHZTNOYSSOQBI,wyggjewbe,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,7037.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,4.0,R,1-560-405-0048
CT,2.0,AOIWIWTIHIXOJ,AOI7503,,,969707.0,M,14.0,411.0,Saint John,Ross Stores,u,5.0,BHGXDDPUMBESLQMNEPREPTZNNKM,YMZRQICUTHT,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,419269.0,Cdrxeolwrrxmwmhgexvcstvzz,1.0,O,1-261-306-5079
UT,9.0,PJQSPMBUHYQKBOZ,PJQ7504,United States of America,m,3899461.0,W,29.0,818.0,Berkeley,,,5.0,Xgnvppcxgfnmawlupgfa,Bcjuycmcen,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,76681.0,WKSBVOFGJHQGAEKUYRZHHPH,4.0,U,1-642-299-6655
RI,7.0,SDVLJWXENNGWCQMIW,SDV7505,United States of America,,3749223.0,U,69.0,370.0,Missoula,Alliance One International,,4.0,Tfiozpstcftslqtwkgngiiwo,Nujxguyehf,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,209116.0,skxijfqpzshmts,2.0,R,
DE,6.0,Hgakmykzeunwkiaxayulpwyxrcuev,Hga7506,,F,3658531.0,U,47.0,833.0,Salinas,Sally Beauty Holdings,F,0.0,fbcahlrhhjoslfzqvvwwvhk,Neigswk,Ajpkrmtlcbdzr,212203.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,0.0,O,1-388-257-4273
NM,2.0,Beotomyndkiqryllkvpavllytov,Beo7507,Canada,M,1738460.0,M,0.0,536.0,San Jose,Wisconsin Energy,D,5.0,Dcgkohfcwyoaxckalqnkrzwq,WNCEOQPLW,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,42018.0,LJXAXKUJXQBGWBHJJAAM,5.0,U,
WV,0.0,Qumxrssnd,Qum7508,United States of America,,3307296.0,S,46.0,775.0,Cleveland,Carpenter Technology,,0.0,Vmnmcsinflxxmmifydckncc,Cskdwtkf,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,90446.0,Jmlgjkjbqhrudrkqrm,0.0,R,1-632-118-1891
NH,3.0,Hudlpfwjagzbnznyhamjkhbf,Hud7509,United States of America,,1816419.0,M,6.0,765.0,Huntington,Liberty Mutual Insurance Group,v,1.0,Vrkbkkxkddtximspigmlbwzt,tcxswloetdt,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,16274.0,Qqcilgblxyikgr,1.0,R,1-853-806-4986
WY,6.0,jbabemsfwdyeihxq,jba7510,Canada,m,2599250.0,M,22.0,555.0,Paterson,Black & Decker,,2.0,RMWCTFTLSVTMCBI,Fkpemasoukih,Ycltsquohmuugxihqyluhkoy,22215.0,Ahtohqjfzfarn,5.0,O,1-220-687-2027
