OwnOrRentFlag,State,MaritalStatus,MiddleInitial,Age,Employer,NumberCreditCards,Country,Phone,NumberCars,AddressLine1,AddressLine2,City,Income,LastName,NumberChildren,AgencyID,CreditRating,NetWorth,Gender,FirstName,PostalCode
O,MA,W,,20.0,Brink's,,United States of America,1-712-522-6088,,21847 olympia street,,Fairbanks,368776.0,PELLAND,3.0,PEL0,760.0,1058868.0,f,Netti,T6b 1i1
U,PA,U,,3.0,,6.0,United States of America,1-626-426-4298,5.0,245 congress court,APT. 624,Quebec,177967.0,LEDUC,1.0,LED1,555.0,1988185.0,F,TRUDY,77281
O,Alberta,S,,,,6.0,United States of America,1-524-787-8784,2.0,6517 frailing west,,Henderson,321772.0,latif,1.0,lat2,566.0,3673128.0,,ireland,91355
O,AR,W,,77.0,Air Products & Chemicals,3.0,Canada,1-741-997-1688,2.0,11449 blalock park,,Salem,25449.0,RUDDICK,1.0,RUD3,,2005895.0,,Misti,36615
O,OR,M,M,21.0,Oshkosh,4.0,Canada,1-002-194-1991,0.0,18354 dodd court,Apt. 619,Toledo,166567.0,JAYAMANNE,3.0,JAY4,815.0,624736.0,f,sarena,t6a 1i3
R,VA,M,Z,77.0,,10.0,United States of America,1-441-371-7651,1.0,14117 roxboro street,,Corpus Christi,43631.0,todo,4.0,tod5,333.0,3064615.0,M,Paulette,A2b 1v3
O,OH,,R,23.0,VeraSun Energy,1.0,Canada,1-957-940-5980,4.0,24697 FLORENCE WEST,,Salt Lake City,466230.0,Kanno,0.0,Kan6,528.0,3489129.0,m,AMALITA,49513
U,Prince Edward Island,M,Z,9.0,IDT,7.0,United States of America,1-768-633-4096,2.0,6488 applewood drive,,Brownsville,420243.0,Dinkel,2.0,Din7,680.0,3430744.0,,Ernesto,M5d 1v6
O,NV,U,,63.0,Adams Resources & Energy,10.0,United States of America,1-107-689-2155,3.0,17404 gale court,,Escondido,141862.0,Thibodeaux,,Thi8,761.0,1743614.0,,Toby,V6c 1q1
O,Ontario,M,,32.0,MGIC Investment,,United States of America,1-173-594-6096,0.0,15913 alexis street,,Los Angeles,402011.0,Mayo,2.0,May9,416.0,216299.0,,evangelia,99716
O,TX,M,U,96.0,Iasis Healthcare,9.0,Canada,1-561-520-0611,2.0,18313 5th lane,,West Covina,79928.0,mahendra,2.0,mah10,493.0,1528641.0,,umakanth,A2b 1w1
R,NE,M,,46.0,AMR,0.0,United States of America,1-730-406-9727,1.0,13653 collier avenue,,San Buenaventura,109496.0,Sizto,0.0,Siz11,564.0,3752907.0,,terrie,M5F 1W1
U,AR,U,,6.0,Embarq,0.0,United States of America,,1.0,15306 pike park,,Lexington,267901.0,crawley,4.0,cra12,817.0,582378.0,,Mary-pat,95118
R,MI,U,,39.0,Advanced Micro Devices,8.0,United States of America,1-207-867-4589,3.0,1540 crestmere north,,Hay River,487273.0,dacal,5.0,dac13,653.0,3458824.0,m,Catherin,H2f 1v7
O,MA,M,W,73.0,Cenveo,2.0,United States of America,1-478-629-9641,3.0,10790 bonita crescent,,Toronto,34013.0,HIVELY,4.0,HIV14,587.0,469408.0,,annissa,19217
O,TN,S,,26.0,Kelly Services,6.0,United States of America,1-026-208-8595,0.0,24679 AIRPORT CRESCENT,Apt. 290,Denver,473462.0,Peschke,2.0,Pes15,472.0,1504480.0,,Amour,21228
O,TN,M,,54.0,Viacom,4.0,Canada,1-432-681-4853,5.0,7627 douglas road,,St. Paul,499493.0,CHILDERHOSE,4.0,CHI16,817.0,2763009.0,,jenica,85097
R,OK,M,,87.0,Macy's,0.0,United States of America,,5.0,6106 ashland east,,Bellevue,266928.0,Dinnin,4.0,Din17,441.0,2787199.0,,KATTIE,V6j 1q8
O,Ontario,M,M,85.0,Gardner Denver,6.0,United States of America,1-357-207-6320,2.0,1111 norden street,,Detroit,72444.0,De witte,3.0,De 18,848.0,2789368.0,,Roselle,43207
R,KY,U,,86.0,Family Dollar Stores,8.0,United States of America,1-462-774-1277,3.0,2798 1st east,,Omaha,77290.0,Mckeegan,3.0,Mck19,843.0,2784776.0,m,arlyne,V6t 1q8
R,PA,U,P,59.0,,,United States of America,1-702-382-2898,2.0,11358 elle lee street,,Costa Mesa,395066.0,WINTERS,0.0,WIN20,,288747.0,M,Rong-chin,94467
O,MD,U,,94.0,Sun Microsystems,0.0,United States of America,1-909-554-7120,5.0,21074 MALLORY LOWER,,Berkeley,119283.0,BITTMAN,3.0,BIT21,300.0,876575.0,,Darlleen,94321
O,TX,U,V,,Costco Wholesale,8.0,United States of America,1-752-296-7940,1.0,16124 weyland park,,St. Louis,330991.0,luzarraga,1.0,luz22,795.0,2041224.0,f,Radoslav,C2a 4w7
U,IN,,S,5.0,Illinois Tool Works,5.0,United States of America,1-995-554-5056,4.0,23822 marvin crescent,,Colorado Springs,,donovan,0.0,don23,367.0,2231509.0,,Aryn,35808
O,MD,M,T,23.0,Southern Union,1.0,United States of America,1-090-303-3807,1.0,2203 valita boulevard,,Fontana,252031.0,Giallo,5.0,Gia24,507.0,3206409.0,,Allisan,M5f 1v6
O,KY,M,,61.0,Moog,9.0,United States of America,1-492-968-0932,3.0,11538 COLLINWOOD AVENUE,,St. Catharines,101800.0,SPRUELL,1.0,SPR25,362.0,3850037.0,M,Ammamaria,99539
O,CA,D,,,Old Republic International,7.0,United States of America,1-960-227-2020,0.0,7818 EAST STREET,,Hayward,436977.0,SKALSKI,1.0,SKA26,527.0,528440.0,F,Mari,95055
O,FL,S,,51.0,,0.0,United States of America,1-431-122-8597,0.0,10013 shaw road,,Palmdale,495334.0,Gargul,,Gar27,354.0,597140.0,m,Anica,93686
O,Newfoundland,M,,97.0,Great Plains Energy,1.0,United States of America,1-822-836-7200,1.0,6802 AMES STREET,,Phoenix,274685.0,Dore,1.0,Dor28,511.0,146931.0,,Melba,75218
,TX,,X,52.0,Broadcom,7.0,United States of America,1-530-117-0497,2.0,22501 SUMMIT RUE,,Gary,320820.0,DIOGO,2.0,DIO29,412.0,353495.0,,Tracee,91174
O,WA,S,,98.0,Discover Financial Services,1.0,Canada,1-051-257-2719,4.0,291 frances rue,,Beaumont,195835.0,Merrick,0.0,Mer30,583.0,295647.0,m,CANADIAN,49515
O,MN,U,R,47.0,UAL,5.0,United States of America,1-171-989-1363,5.0,16264 sanders east,,Nashua,108085.0,Atchison,3.0,Atc31,710.0,408941.0,,Oue,16506
O,WY,M,X,47.0,Charles Schwab,9.0,United States of America,1-042-705-3246,2.0,16068 cantey way,,San Jose,260185.0,Plamondon,1.0,Pla32,380.0,362523.0,m,wallie,94383
R,NY,M,E,9.0,Coach,2.0,United States of America,1-098-328-2026,0.0,21170 EDLOE BOULEVARD,,Nashua,258323.0,SELCHOW,0.0,SEL33,796.0,2102359.0,F,Andromache,T6d 1b3
U,SC,M,Z,85.0,DaVita,2.0,United States of America,1-209-754-5635,1.0,885 CROSBY LANE,,Fort Smith,79476.0,shane,3.0,sha34,818.0,3480265.0,f,THOR,25339
U,MS,M,,81.0,Marshall & Ilsley Corp.,3.0,United States of America,1-498-781-3456,5.0,12235 jay street,,Lancaster,102156.0,MERWIN,3.0,MER35,766.0,3648900.0,,SALAH,V6o 1v4
O,UT,M,,0.0,Cablevision Systems,2.0,United States of America,1-615-241-0440,2.0,20340 LOMBARD CRESCENT,,Colorado Springs,221481.0,conrad,3.0,con36,359.0,1161790.0,,HOR-LAM,01852
R,PA,S,,28.0,Barnes & Noble,2.0,United States of America,1-995-449-5200,1.0,22074 dexter upper,,Washington,41836.0,onsiteteam,5.0,ons37,401.0,2050587.0,M,Vania,78230
O,OK,U,,65.0,EMC,0.0,Canada,1-295-673-4452,1.0,1540 MURIE RUE,,Lowell,72389.0,Summerlin,1.0,Sum38,609.0,3579198.0,M,Niel,93770
O,WY,S,F,20.0,Fluor,2.0,United States of America,1-914-675-2986,3.0,7075 glen loch drive,,Frederick,66486.0,grooms,0.0,gro39,630.0,889494.0,,ziad,m4l 1n4
O,RI,M,I,55.0,Dollar General,9.0,United States of America,,3.0,11237 balmoral way,Apt. 382,Mesa,200185.0,dilkie,1.0,dil40,671.0,2205682.0,,Claude,22335
O,HI,U,,76.0,Lear,10.0,United States of America,1-825-739-0336,0.0,8316 GARDEN BROOK NORTH,,Lakewood,289215.0,DOLSON,2.0,DOL41,715.0,1140117.0,,AVTAR,V6C 1T4
O,VA,M,,1.0,J.P. Morgan Chase & Co.,9.0,United States of America,1-956-713-3802,4.0,2240 clifton lower,,Cleveland,322484.0,Posthumus,1.0,Pos42,707.0,1421319.0,,Donny,M6t 1h3
O,OK,M,,3.0,Affinia Group Intermediate,0.0,United States of America,1-814-932-1579,4.0,20907 NOTINGHAM LOWER,,Grand Rapids,83458.0,Machika,2.0,Mac43,329.0,3525204.0,,Cocos,95263
R,Prince Edward Island,D,,100.0,,8.0,United States of America,1-135-443-7282,0.0,601 carroll lower,,Peoria,,chenoweth,3.0,che44,601.0,468976.0,,ruud,v5b 1p5
O,SD,W,,81.0,Goldman Sachs Group,2.0,United States of America,1-720-975-0667,5.0,18267 state drive,,Inglewood,492407.0,holbrooks,1.0,hol45,623.0,1685443.0,,Belvia,32318
O,OH,S,,76.0,E*Trade Financial,2.0,United States of America,1-871-598-3505,4.0,9270 LEAF SOUTH,,Akron,346630.0,pfieffer,4.0,pfi46,376.0,337564.0,f,ATHAR,93872
O,MA,W,Y,51.0,Pfizer,0.0,Canada,1-607-222-4809,1.0,18582 PERIMETER BOULEVARD,,Charlottetown,9572.0,elkington,3.0,elk47,560.0,84777.0,,Cherey,92824
O,MD,,,,Safeway,4.0,United States of America,1-965-046-0642,1.0,9612 park stream upper,,Bellevue,265369.0,Labenek,5.0,Lab48,693.0,3146477.0,F,RAZ,e4a 1r2
U,Saskatchewan,S,Y,58.0,Simon Property Group,0.0,United States of America,1-155-441-3579,1.0,2803 clearwater north,,Dover,104172.0,laferriere,2.0,laf49,346.0,495277.0,,kishore,H7G 1V4
O,WA,M,I,52.0,Trinity Industries,0.0,United States of America,,0.0,11103 BISSONNET WEST,,Fullerton,65550.0,Norment,3.0,Nor50,342.0,746904.0,,Nelleke,85039
R,OH,M,,91.0,Solutia,8.0,Canada,1-544-132-7237,2.0,4652 outervale lane,,Denver,,hagar,0.0,hag51,563.0,1219620.0,,sibby,v6m 1q3
O,WY,M,,17.0,,4.0,United States of America,1-821-089-2089,2.0,341 dunbar west,,Dallas,,Betcher,3.0,Bet52,391.0,1718910.0,m,ericha,X7j 1r1
O,NJ,S,,6.0,A.O. Smith,8.0,United States of America,1-135-391-9787,4.0,16176 vernon drive,,San Jose,66244.0,Van der,4.0,Van53,381.0,,m,Janson,B8b 1z5
U,ND,S,,89.0,AptarGroup,9.0,United States of America,1-776-182-6215,0.0,23131 clint way,,Bellevue,426954.0,O'LEARY,3.0,O'L54,539.0,2636424.0,F,Dorotea,t5d 1v4
O,NC,M,,99.0,Coca-Cola,0.0,United States of America,1-079-780-7761,5.0,11640 baltic upper,,San Buenaventura,126891.0,anderson,4.0,and55,497.0,1326305.0,m,Denice,V6t 1r2
O,WV,M,,77.0,Kimberly-Clark,,Canada,1-504-346-4393,4.0,20796 dolores drive,,St. Louis,454196.0,starks,2.0,sta56,661.0,2241997.0,,Myron,91177
R,GA,S,,,Visteon,0.0,United States of America,1-985-538-4351,5.0,14359 COMMERCE WEST,Apt. 275,Pueblo,163940.0,CHASSE,3.0,CHA57,558.0,1542891.0,,Barby,T5c 1t1
O,Ontario,W,,90.0,TECO Energy,,Canada,1-254-097-9398,,21448 hampton boulevard,,Regina,365213.0,ASING,1.0,ASI58,534.0,797918.0,R,Ariella,35862
U,MA,M,,82.0,Bemis,6.0,United States of America,1-545-924-9552,0.0,7637 pershing way,,Saskatoon,428739.0,askins,0.0,ask59,373.0,347654.0,f,ADEY,96820
O,CA,M,K,,Wyeth,8.0,United States of America,1-984-233-8818,4.0,11529 arcana boulevard,,Jackson,142444.0,Kikuta,0.0,Kik60,382.0,2456397.0,,GAYEL,75238
O,SD,S,,15.0,United Technologies,10.0,United States of America,1-528-691-1642,3.0,2700 windwood north,,St. Petersburg,416168.0,Chane,3.0,Cha61,475.0,1284229.0,F,Man,85769
O,Saskatchewan,D,U,,Clorox,3.0,United States of America,,2.0,22279 gramercy road,,Scottsdale,291420.0,KILLEN,0.0,KIL62,539.0,618787.0,m,Klara,H5i 1o9
