AgencyID,Age,NumberChildren,PostalCode,Country,MaritalStatus,LastName,FirstName,MiddleInitial,Gender,AddressLine1,AddressLine2,City,State
PEL0,20.0,3.0,T6b 1i1,United States of America,W,PELLAND,Netti,,f,21847 olympia street,,Fairbanks,MA
LED1,3.0,1.0,77281,United States of America,U,LEDUC,TRUDY,,F,245 congress court,APT. 624,Quebec,PA
lat2,,1.0,91355,United States of America,S,latif,ireland,,,6517 frailing west,,Henderson,Alberta
RUD3,77.0,1.0,36615,Canada,W,RUDDICK,Misti,,,11449 blalock park,,Salem,AR
JAY4,21.0,3.0,t6a 1i3,Canada,M,JAYAMANNE,sarena,M,f,18354 dodd court,Apt. 619,Toledo,OR
tod5,77.0,4.0,A2b 1v3,United States of America,M,todo,Paulette,Z,M,14117 roxboro street,,Corpus Christi,VA
Kan6,23.0,0.0,49513,Canada,,Kanno,AMALITA,R,m,24697 FLORENCE WEST,,Salt Lake City,OH
Din7,9.0,2.0,M5d 1v6,United States of America,M,Dinkel,Ernesto,Z,,6488 applewood drive,,Brownsville,Prince Edward Island
Thi8,63.0,,V6c 1q1,United States of America,U,Thibodeaux,Toby,,,17404 gale court,,Escondido,NV
May9,32.0,2.0,99716,United States of America,M,Mayo,evangelia,,,15913 alexis street,,Los Angeles,Ontario
mah10,96.0,2.0,A2b 1w1,Canada,M,mahendra,umakanth,U,,18313 5th lane,,West Covina,TX
Siz11,46.0,0.0,M5F 1W1,United States of America,M,Sizto,terrie,,,13653 collier avenue,,San Buenaventura,NE
cra12,6.0,4.0,95118,United States of America,U,crawley,Mary-pat,,,15306 pike park,,Lexington,AR
dac13,39.0,5.0,H2f 1v7,United States of America,U,dacal,Catherin,,m,1540 crestmere north,,Hay River,MI
HIV14,73.0,4.0,19217,United States of America,M,HIVELY,annissa,W,,10790 bonita crescent,,Toronto,MA
Pes15,26.0,2.0,21228,United States of America,S,Peschke,Amour,,,24679 AIRPORT CRESCENT,Apt. 290,Denver,TN
CHI16,54.0,4.0,85097,Canada,M,CHILDERHOSE,jenica,,,7627 douglas road,,St. Paul,TN
Din17,87.0,4.0,V6j 1q8,United States of America,M,Dinnin,KATTIE,,,6106 ashland east,,Bellevue,OK
De 18,85.0,3.0,43207,United States of America,M,De witte,Roselle,M,,1111 norden street,,Detroit,Ontario
Mck19,86.0,3.0,V6t 1q8,United States of America,U,Mckeegan,arlyne,,m,2798 1st east,,Omaha,KY
