LastName,Country,Income,CreditRating,Gender,NumberCars,MaritalStatus,State,Age,NumberCreditCards,AddressLine1,City,Phone,NumberChildren,AddressLine2,Employer,PostalCode,MiddleInitial,AgencyID,FirstName,OwnOrRentFlag,NetWorth
PELLAND,United States of America,368776.0,760.0,f,,W,MA,20.0,,21847 olympia street,Fairbanks,1-712-522-6088,3.0,,Brink's,T6b 1i1,,PEL0,Netti,O,1058868.0
LEDUC,United States of America,177967.0,555.0,F,5.0,U,PA,3.0,6.0,245 congress court,Quebec,1-626-426-4298,1.0,APT. 624,,77281,,LED1,TRUDY,U,1988185.0
latif,United States of America,321772.0,566.0,,2.0,S,Alberta,,6.0,6517 frailing west,Henderson,1-524-787-8784,1.0,,,91355,,lat2,ireland,O,3673128.0
RUDDICK,Canada,25449.0,,,2.0,W,AR,77.0,3.0,11449 blalock park,Salem,1-741-997-1688,1.0,,Air Products & Chemicals,36615,,RUD3,Misti,O,2005895.0
JAYAMANNE,Canada,166567.0,815.0,f,0.0,M,OR,21.0,4.0,18354 dodd court,Toledo,1-002-194-1991,3.0,Apt. 619,Oshkosh,t6a 1i3,M,JAY4,sarena,O,624736.0
todo,United States of America,43631.0,333.0,M,1.0,M,VA,77.0,10.0,14117 roxboro street,Corpus Christi,1-441-371-7651,4.0,,,A2b 1v3,Z,tod5,Paulette,R,3064615.0
Kanno,Canada,466230.0,528.0,m,4.0,,OH,23.0,1.0,24697 FLORENCE WEST,Salt Lake City,1-957-940-5980,0.0,,VeraSun Energy,49513,R,Kan6,AMALITA,O,3489129.0
Dinkel,United States of America,420243.0,680.0,,2.0,M,Prince Edward Island,9.0,7.0,6488 applewood drive,Brownsville,1-768-633-4096,2.0,,IDT,M5d 1v6,Z,Din7,Ernesto,U,3430744.0
Thibodeaux,United States of America,141862.0,761.0,,3.0,U,NV,63.0,10.0,17404 gale court,Escondido,1-107-689-2155,,,Adams Resources & Energy,V6c 1q1,,Thi8,Toby,O,1743614.0
Mayo,United States of America,402011.0,416.0,,0.0,M,Ontario,32.0,,15913 alexis street,Los Angeles,1-173-594-6096,2.0,,MGIC Investment,99716,,May9,evangelia,O,216299.0
mahendra,Canada,79928.0,493.0,,2.0,M,TX,96.0,9.0,18313 5th lane,West Covina,1-561-520-0611,2.0,,Iasis Healthcare,A2b 1w1,U,mah10,umakanth,O,1528641.0
Sizto,United States of America,109496.0,564.0,,1.0,M,NE,46.0,0.0,13653 collier avenue,San Buenaventura,1-730-406-9727,0.0,,AMR,M5F 1W1,,Siz11,terrie,R,3752907.0
crawley,United States of America,267901.0,817.0,,1.0,U,AR,6.0,0.0,15306 pike park,Lexington,,4.0,,Embarq,95118,,cra12,Mary-pat,U,582378.0
dacal,United States of America,487273.0,653.0,m,3.0,U,MI,39.0,8.0,1540 crestmere north,Hay River,1-207-867-4589,5.0,,Advanced Micro Devices,H2f 1v7,,dac13,Catherin,R,3458824.0
HIVELY,United States of America,34013.0,587.0,,3.0,M,MA,73.0,2.0,10790 bonita crescent,Toronto,1-478-629-9641,4.0,,Cenveo,19217,W,HIV14,annissa,O,469408.0
Peschke,United States of America,473462.0,472.0,,0.0,S,TN,26.0,6.0,24679 AIRPORT CRESCENT,Denver,1-026-208-8595,2.0,Apt. 290,Kelly Services,21228,,Pes15,Amour,O,1504480.0
CHILDERHOSE,Canada,499493.0,817.0,,5.0,M,TN,54.0,4.0,7627 douglas road,St. Paul,1-432-681-4853,4.0,,Viacom,85097,,CHI16,jenica,O,2763009.0
Dinnin,United States of America,266928.0,441.0,,5.0,M,OK,87.0,0.0,6106 ashland east,Bellevue,,4.0,,Macy's,V6j 1q8,,Din17,KATTIE,R,2787199.0
De witte,United States of America,72444.0,848.0,,2.0,M,Ontario,85.0,6.0,1111 norden street,Detroit,1-357-207-6320,3.0,,Gardner Denver,43207,M,De 18,Roselle,O,2789368.0
Mckeegan,United States of America,77290.0,843.0,m,3.0,U,KY,86.0,8.0,2798 1st east,Omaha,1-462-774-1277,3.0,,Family Dollar Stores,V6t 1q8,,Mck19,arlyne,R,2784776.0
WINTERS,United States of America,395066.0,,M,2.0,U,PA,59.0,,11358 elle lee street,Costa Mesa,1-702-382-2898,0.0,,,94467,P,WIN20,Rong-chin,R,288747.0
BITTMAN,United States of America,119283.0,300.0,,5.0,U,MD,94.0,0.0,21074 MALLORY LOWER,Berkeley,1-909-554-7120,3.0,,Sun Microsystems,94321,,BIT21,Darlleen,O,876575.0
luzarraga,United States of America,330991.0,795.0,f,1.0,U,TX,,8.0,16124 weyland park,St. Louis,1-752-296-7940,1.0,,Costco Wholesale,C2a 4w7,V,luz22,Radoslav,O,2041224.0
donovan,United States of America,,367.0,,4.0,,IN,5.0,5.0,23822 marvin crescent,Colorado Springs,1-995-554-5056,0.0,,Illinois Tool Works,35808,S,don23,Aryn,U,2231509.0
