gndr,frstnm,pstlcd,nmbrchldrn,nmbrcrs,wnrrntflg,phn,mddlntl,ncm,ddrssln1,ct,ntwrth,mplr,stt,gncd,crdtrtng,cntr,lstnm,nmbrcrdtcrds,mrtlstts,g,ddrssln2
,wbwsqgtaa,Guudshirvcu,,3.0,U,1-637-119-9996,n,94490.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,Baltimore,321776.0,FM Global,MO,Iok7501,580.0,United States of America,Iokwiqojocjanndatkdzgymym,,U,7.0,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ
M,QGJWCPAPZMWHYHZTNOYSSOQBI,wyggjewbe,4.0,4.0,R,1-560-405-0048,,7037.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,Kitchener,2292324.0,MGIC Investment,TX,tia7502,683.0,Canada,tiabxgseasiibxakctfzhfwotp,2.0,S,48.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn
,BHGXDDPUMBESLQMNEPREPTZNNKM,YMZRQICUTHT,5.0,1.0,O,1-261-306-5079,u,419269.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,Saint John,969707.0,Ross Stores,CT,AOI7503,411.0,,AOIWIWTIHIXOJ,2.0,M,14.0,Cdrxeolwrrxmwmhgexvcstvzz
m,Xgnvppcxgfnmawlupgfa,Bcjuycmcen,5.0,4.0,U,1-642-299-6655,,76681.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,Berkeley,3899461.0,,UT,PJQ7504,818.0,United States of America,PJQSPMBUHYQKBOZ,9.0,W,29.0,WKSBVOFGJHQGAEKUYRZHHPH
,Tfiozpstcftslqtwkgngiiwo,Nujxguyehf,4.0,2.0,R,,,209116.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,Missoula,3749223.0,Alliance One International,RI,SDV7505,370.0,United States of America,SDVLJWXENNGWCQMIW,7.0,U,69.0,skxijfqpzshmts
F,fbcahlrhhjoslfzqvvwwvhk,Neigswk,0.0,0.0,O,1-388-257-4273,F,212203.0,Ajpkrmtlcbdzr,Salinas,3658531.0,Sally Beauty Holdings,DE,Hga7506,833.0,,Hgakmykzeunwkiaxayulpwyxrcuev,6.0,U,47.0,ZETOHHRKIBHCQCKZODIXJJSXCFY
M,Dcgkohfcwyoaxckalqnkrzwq,WNCEOQPLW,5.0,5.0,U,,D,42018.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,San Jose,1738460.0,Wisconsin Energy,NM,Beo7507,536.0,Canada,Beotomyndkiqryllkvpavllytov,2.0,M,0.0,LJXAXKUJXQBGWBHJJAAM
,Vmnmcsinflxxmmifydckncc,Cskdwtkf,0.0,0.0,R,1-632-118-1891,,90446.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Cleveland,3307296.0,Carpenter Technology,WV,Qum7508,775.0,United States of America,Qumxrssnd,0.0,S,46.0,Jmlgjkjbqhrudrkqrm
,Vrkbkkxkddtximspigmlbwzt,tcxswloetdt,1.0,1.0,R,1-853-806-4986,v,16274.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,Huntington,1816419.0,Liberty Mutual Insurance Group,NH,Hud7509,765.0,United States of America,Hudlpfwjagzbnznyhamjkhbf,3.0,M,6.0,Qqcilgblxyikgr
m,RMWCTFTLSVTMCBI,Fkpemasoukih,2.0,5.0,O,1-220-687-2027,,22215.0,Ycltsquohmuugxihqyluhkoy,Paterson,2599250.0,Black & Decker,WY,jba7510,555.0,Canada,jbabemsfwdyeihxq,6.0,M,22.0,Ahtohqjfzfarn
m,Zaijioc,NCEVKLQEEWTA,1.0,5.0,O,,,210038.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,Greensboro,490443.0,Interstate Bakeries,Saskatchewan,dgc7511,,United States of America,dgcnbxfhc,3.0,M,72.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm
,Mdwdjpdfmbqjaygkfqzqx,DODDIDDHXS,5.0,4.0,O,1-268-630-3843,,307402.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,Concord,3348923.0,eBay,NE,lql7512,318.0,Canada,lqlslgqsvyfxqnzuwbfg,9.0,M,40.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd
m,Ccbccgvldfvoqtzestvkwunn,Oqnzttrldq,1.0,4.0,R,1-915-548-9541,,,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Colorado Springs,331799.0,Boise,AR,Wsk7513,613.0,United States of America,Wskjvrujdwku,4.0,D,8.0,ucxdpiwilpxxhv
,nyakrhdyxravdnhgbtol,Lwbawk,1.0,4.0,R,1-536-880-0961,v,432425.0,,Mobile,1167013.0,MDU Resources Group,IL,Ffs7514,786.0,,Ffshsiomkzjonhxjhunfsao,4.0,U,10.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd
